,index,avg_neighborhood_prop_val,surrounding_neighborhood_avg_prop_val,n_property_crimes,surrounding_neighborhood_avg_property_crimes
0,82.0,231.33038583952887,3182.4831591186066,820.0,1970.75
1,32.0,365.097573887556,814.302113359219,740.0,662.2
2,83.0,2078.4985042340963,2143.6457532579107,1481.0,936.8333333333334
3,25.0,1960.401059162845,2688.9416244944496,1037.0,1091.6
4,46.0,3446.6836630029347,2355.7327278314824,841.0,1113.3333333333333
5,20.0,617.0994417911007,476.3377049039307,374.0,584.3333333333334
6,60.0,2331.236607773085,2675.0162630263285,709.0,1382.5
7,6.0,515.4725531628092,2333.2876706776738,4146.0,1586.8333333333333
8,51.0,3678.797561611891,1547.5654808479455,805.0,1115.5555555555557
9,22.0,1269.0019175899306,1697.5876028499233,527.0,925.5
10,29.0,490.1835788838373,708.4683089810131,674.0,1426.8333333333333
11,31.0,1834.928963401752,2807.5125640050724,2797.0,2025.0
12,63.0,3857.573461271075,3239.7278846697127,488.0,364.25
13,87.0,563.9062073426206,505.37086713928596,640.0,816.1666666666666
14,90.0,4243.04803523275,2462.287583576726,1356.0,978.0
15,90.0,4243.04803523275,2462.287583576726,1356.0,978.0
16,39.0,3507.0095553309943,2272.0787019756613,2492.0,1708.75
17,89.0,72.6204825697982,100.52927694822483,1072.0,1028.0
18,13.0,874.8657888337469,1553.890773966665,764.0,777.4285714285714
19,90.0,4243.04803523275,2462.287583576726,1356.0,978.0
20,4.0,153.93872279792896,477.40343271032225,850.0,1267.5
21,17.0,454.8683937621444,177.43651985681166,2322.0,1146.1666666666667
22,22.0,1269.0019175899306,1697.5876028499233,527.0,925.5
23,57.0,389.6893474692916,258.0941078247429,207.0,566.5
24,13.0,874.8657888337469,1553.890773966665,764.0,777.4285714285714
25,73.0,85.09966147772326,174.06589114835066,1997.0,1034.25
26,51.0,3678.797561611891,1547.5654808479455,805.0,1115.5555555555557
27,75.0,2913.2952888806126,2863.2066815605226,254.0,810.1666666666666
28,8.0,3669.7251690836574,3277.6353551237175,1061.0,932.6
29,76.0,5792.703159256571,2473.730653204113,437.0,2392.5
30,59.0,1129.4716599158173,828.3606864282543,1281.0,1038.3333333333333
31,65.0,194.81296643501238,292.7442109765089,203.0,889.3333333333334
32,39.0,3507.0095553309943,2272.0787019756613,2492.0,1708.75
33,76.0,5792.703159256571,2473.730653204113,437.0,2392.5
34,10.0,352.92171359177735,239.81247486970096,388.0,1011.2
35,4.0,153.93872279792896,477.40343271032225,850.0,1267.5
36,73.0,85.09966147772326,174.06589114835066,1997.0,1034.25
37,84.0,405.278544110362,172.04428376010574,1098.0,1321.5
38,27.0,276.6603123186012,437.194436617734,3617.0,1256.0
39,6.0,515.4725531628092,2333.2876706776738,4146.0,1586.8333333333333
40,59.0,1129.4716599158173,828.3606864282543,1281.0,1038.3333333333333
41,61.0,2092.5473552368617,2547.953444288186,2145.0,2091.2
42,44.0,2623.8200888679744,2422.392803548667,2591.0,884.4285714285714
43,22.0,1269.0019175899306,1697.5876028499233,527.0,925.5
44,79.0,757.9723153645143,589.840944500714,2724.0,893.4
45,34.0,462.85965830728884,194.91603192491183,1031.0,568.5714285714286
46,51.0,3678.797561611891,1547.5654808479455,805.0,1115.5555555555557
47,78.0,67.17011850116474,182.3936173718785,655.0,440.85714285714283
48,20.0,617.0994417911007,476.3377049039307,374.0,584.3333333333334
49,67.0,3200.5955613073997,2499.1781643025074,1268.0,762.8571428571429
50,59.0,1129.4716599158173,828.3606864282543,1281.0,1038.3333333333333
51,62.0,2769.150852482591,3027.798692048424,452.0,857.0
52,63.0,3857.573461271075,3239.7278846697127,488.0,364.25
53,38.0,4546.082134203887,2535.9604640816974,374.0,1911.857142857143
54,49.0,3761.264353237302,3240.316143756313,1665.0,1203.0
55,81.0,353.2785433517407,2406.4664507748785,366.0,1377.25
56,32.0,365.097573887556,814.302113359219,740.0,662.2
57,67.0,3200.5955613073997,2499.1781643025074,1268.0,762.8571428571429
58,44.0,2623.8200888679744,2422.392803548667,2591.0,884.4285714285714
59,85.0,87.66267210496866,473.15783886792667,741.0,1313.4285714285713
60,48.0,1550.6294410436078,1756.575353733324,1559.0,867.3333333333334
61,59.0,1129.4716599158173,828.3606864282543,1281.0,1038.3333333333333
62,61.0,2092.5473552368617,2547.953444288186,2145.0,2091.2
63,75.0,2913.2952888806126,2863.2066815605226,254.0,810.1666666666666
64,4.0,153.93872279792896,477.40343271032225,850.0,1267.5
65,61.0,2092.5473552368617,2547.953444288186,2145.0,2091.2
66,66.0,547.1563188823235,1122.3018508098953,1294.0,1584.25
67,41.0,1683.708461308665,3087.9694579041393,1219.0,783.4285714285714
68,4.0,153.93872279792896,477.40343271032225,850.0,1267.5
69,27.0,276.6603123186012,437.194436617734,3617.0,1256.0
70,89.0,72.6204825697982,100.52927694822483,1072.0,1028.0
71,46.0,3446.6836630029347,2355.7327278314824,841.0,1113.3333333333333
72,29.0,490.1835788838373,708.4683089810131,674.0,1426.8333333333333
73,56.0,163.26650205770838,261.1219498437905,745.0,952.4
74,71.0,53.22166730924289,74.8830835998623,342.0,865.6
76,75.0,2913.2952888806126,2863.2066815605226,254.0,810.1666666666666
77,0.0,1508.1677810774,2724.1117391258813,977.0,790.5
