,abi,primary_naics_code_2017,company_2017,year_2017,business_status_code_2017,company_holding_status_2017,census_tract_2017,year_established_2017,employee_size_location_2017,sales_volume_location_2017,latitude_2017,longitude_2017,employee_size_location_2016,sales_volume_location_2016,neighborhood_avg_property_value,neighborhood_property_crimes,surrounding_neighborhood_avg_property_value,surrounding_neighborhood_property_crimes
635,706714093,44511003,WALMART NEIGHBORHOOD MARKET,2017,2,,843600,,70.0,17889.0,41.808820000000004,-87.60696,70.0,18586.0,462.85965830728884,1031.0,194.91603192491183,568.5714285714286
636,929469617,44511003,CHRISTOPHER RANCH,2017,2,,843200,,4.0,1023.0,41.846709999999995,-87.6749,4.0,1062.0,3678.797561611891,805.0,1547.5654808479455,1115.5555555555557
637,210984209,44511003,FOOD 4 LESS,2017,2,,610300,,94.0,24022.0,41.80941,-87.67725,94.0,24959.0,1129.4716599158173,1281.0,828.3606864282543,1038.3333333333333
638,403348005,44511003,MARIANO'S FRESH MARKET,2017,2,,30706,,125.0,31944.0,41.9769,-87.65436,125.0,33190.0,1960.401059162845,1037.0,2688.9416244944496,1091.6
641,425330043,44511003,MARIANO'S,2017,2,,110100,,100.0,25555.0,41.97938,-87.75706,100.0,26552.0,4160.043971916007,457.0,3323.821437153029,670.0
642,434694569,44511003,MARIANO'S FRESH MARKET,2017,2,,350400,,100.0,25555.0,41.832240000000006,-87.62779,100.0,26552.0,179.4593934288483,1053.0,319.9815684513721,444.6
643,439070204,44511003,MARIANO'S,2017,2,,70500,,100.0,25555.0,41.9238,-87.6492,100.0,26552.0,5792.703159256571,437.0,2473.730653204113,2392.5
644,458394483,44511003,MARIANO'S FRESH MARKET,2017,2,,840400,,190.0,48555.0,41.83662,-87.66424,190.0,50449.0,2688.2776996927346,385.0,1556.64917338036,990.8
645,664478443,44511003,FOOD 4 LESS,2017,2,,250800,,100.0,25555.0,41.90951,-87.74678,100.0,26552.0,515.4725531628092,4146.0,2333.2876706776738,1586.8333333333333
647,700605075,44511003,MARIANO'S FRESH MARKET,2017,2,,40402,,100.0,25555.0,41.96978,-87.67506999999999,100.0,26552.0,3446.6836630029347,841.0,2355.7327278314824,1113.3333333333333
648,705574035,44511003,MARIANO'S FRESH MARKET,2017,2,,70500,,100.0,25555.0,41.9238,-87.6492,100.0,26552.0,5792.703159256571,437.0,2473.730653204113,2392.5
649,717106415,44511003,MARIANO'S FRESH MARKET,2017,2,,842200,,100.0,25555.0,41.90854,-87.64635,3.0,796.0,426.7393602152728,3170.0,2331.83720019887,1880.25
653,638890855,44511003,HAPPY FOODS INC,2017,2,,90200,,35.0,8945.0,42.004490000000004,-87.81828,35.0,9293.0,5279.511253332904,75.0,3857.573461271075,488.0
654,151096062,44511003,TREASURE ISLAND FOODS,2017,2,,81000,,80.0,20444.0,41.90276,-87.63099,80.0,21241.0,1138.3520681316413,669.0,534.6852719738454,1450.25
655,151139029,44511003,TREASURE ISLAND FOODS,2017,2,,81401,,60.0,15333.0,41.8947,-87.61663,60.0,15931.0,564.3706514453694,1033.0,2015.937111201993,2172.6
657,669518300,44511003,TREASURE ISLAND FOODS,2017,2,,410800,,100.0,25555.0,41.79529,-87.58807,100.0,26552.0,311.398813089814,926.0,612.8627708148542,687.6
658,694781279,44511003,TREASURE ISLAND FOODS,2017,2,,71500,,90.0,23000.0,41.91213,-87.63461,90.0,23897.0,547.1563188823235,1294.0,1122.3018508098953,1584.25
659,218371805,44511003,SAVE-A-LOT FOOD STORES,2017,2,,260700,,14.0,3578.0,41.87508,-87.72556999999999,14.0,3717.0,1834.928963401752,2797.0,2807.5125640050724,2025.0
660,218371961,44511003,SAVE-A-LOT FOOD STORES,2017,2,,250700,,10.0,2556.0,41.909279999999995,-87.76489000000001,15.0,3982.0,515.4725531628092,4146.0,2333.2876706776738,1586.8333333333333
661,218371995,44511003,SAVE-A-LOT FOOD STORES,2017,2,,843400,2002.0,8.0,2045.0,41.85031,-87.72399,8.0,2124.0,2092.5473552368617,2145.0,2547.953444288186,2091.2
662,222791618,44511003,SAVE-A-LOT FOOD STORES,2017,2,,390400,,17.0,4345.0,41.809309999999996,-87.60616999999999,17.0,4513.0,235.91358119338952,584.0,264.18352748427094,725.25
663,404758309,44511003,SAVE-A-LOT FOOD STORES,2017,2,,400800,,17.0,4345.0,41.78054,-87.61676,17.0,4513.0,87.66267210496866,741.0,473.15783886792667,1313.4285714285713
664,591502281,44511003,SAVE-A-LOT FOOD STORES,2017,2,,650301,2002.0,10.0,2556.0,41.778259999999996,-87.7341,10.0,2655.0,563.9062073426206,640.0,505.37086713928596,816.1666666666666
665,592933865,44511003,SAVE-A-LOT FOOD STORES,2017,2,,430400,,25.0,6389.0,41.76294,-87.5864,25.0,6638.0,757.9723153645143,2724.0,589.840944500714,893.4
666,592954804,44511003,SAVE-A-LOT FOOD STORES,2017,2,,750100,,13.0,3323.0,41.69944,-87.64298000000001,13.0,3451.0,163.26650205770838,745.0,261.1219498437905,952.4
667,611206350,44511003,SAVE-A-LOT FOOD STORES,2017,2,,710800,,16.0,4089.0,41.75009,-87.64439,16.0,4248.0,86.88925791321388,2156.0,363.0282390276211,1745.875
668,713251851,44511003,SAVE-A-LOT FOOD STORES,2017,2,,680900,,17.0,4345.0,41.7752,-87.6402,100.0,26552.0,276.6603123186012,3617.0,437.194436617734,1256.0
670,221577836,44511003,ALDI,2017,2,,560700,,10.0,2556.0,41.79637,-87.75743,10.0,2655.0,365.097573887556,740.0,814.302113359219,662.2
671,221577844,44511003,ALDI,2017,2,,50300,,10.0,2556.0,41.961220000000004,-87.68982,10.0,2655.0,2331.236607773085,709.0,2675.0162630263285,1382.5
672,221577851,44511003,ALDI,2017,2,,20702,,10.0,2556.0,41.99433,-87.69966,10.0,2655.0,4243.04803523275,1356.0,2462.287583576726,978.0
673,221577869,44511003,ALDI,2017,2,,831000,,10.0,2556.0,41.913109999999996,-87.68119,10.0,2655.0,412.87864106737646,1392.0,2898.9025462861377,1140.6666666666667
674,221577877,44511003,ALDI,2017,2,,190402,,10.0,2556.0,41.93199,-87.76638,10.0,2655.0,1413.9475951410525,1532.0,2173.302624678347,1317.0
675,221577885,44511003,ALDI,2017,2,,70700,,10.0,2556.0,41.92856,-87.67469,10.0,2655.0,2323.6412175402515,2194.0,2715.8490429603326,1324.875
676,221577893,44511003,ALDI,2017,2,,836600,,10.0,2556.0,41.89663,-87.70698,10.0,2655.0,3507.0095553309943,2492.0,2272.0787019756613,1708.75
677,221577901,44511003,ALDI,2017,2,,831400,,10.0,2556.0,41.867020000000004,-87.76505999999999,10.0,2655.0,515.4725531628092,4146.0,2333.2876706776738,1586.8333333333333
678,221577927,44511003,ALDI,2017,2,,835000,,10.0,2556.0,41.7843,-87.68363000000001,10.0,2655.0,905.8965519936772,1886.0,314.3156158512404,1587.4
679,221577935,44511003,ALDI,2017,2,,640300,,10.0,2556.0,41.7752,-87.6402,10.0,2655.0,276.6603123186012,3617.0,437.194436617734,1256.0
680,221577943,44511003,ALDI,2017,2,,460302,,10.0,2556.0,41.751540000000006,-87.56076999999999,10.0,2655.0,332.13489359073054,1251.0,294.0833992644485,891.4
681,221577950,44511003,ALDI,2017,2,,580501,,10.0,2556.0,41.818540000000006,-87.70402,10.0,2655.0,874.8657888337469,764.0,1553.890773966665,777.4285714285714
682,221577968,44511003,ALDI,2017,2,,530400,,10.0,2556.0,41.67729,-87.64314,10.0,2655.0,72.6204825697982,1072.0,100.52927694822483,1028.0
683,221577976,44511003,ALDI,2017,2,,510300,,10.0,2556.0,41.7225,-87.56679,10.0,2655.0,67.17011850116474,655.0,182.3936173718785,440.85714285714283
684,221577992,44511003,ALDI,2017,2,,711100,,10.0,2556.0,41.740390000000005,-87.65709,10.0,2655.0,86.88925791321388,2156.0,363.0282390276211,1745.875
685,221578008,44511003,ALDI,2017,2,,830700,,10.0,2556.0,41.96403,-87.65679,10.0,2655.0,2078.4985042340963,1481.0,2143.6457532579107,936.8333333333334
686,221578016,44511003,ALDI,2017,2,,301200,,10.0,2556.0,41.851890000000004,-87.68871999999999,10.0,2655.0,1550.6294410436078,1559.0,1756.575353733324,867.3333333333334
687,221578024,44511003,ALDI,2017,2,,700302,,10.0,2556.0,41.7411,-87.74093,10.0,2655.0,153.93872279792896,850.0,477.40343271032225,1267.5
688,221578032,44511003,ALDI,2017,2,,260800,,10.0,2556.0,41.88049,-87.72216999999999,10.0,2655.0,1834.928963401752,2797.0,2807.5125640050724,2025.0
689,221578040,44511003,ALDI,2017,2,,140302,,10.0,2556.0,41.97186,-87.72799,10.0,2655.0,1508.1677810774,977.0,2724.1117391258813,790.5
690,221578057,44511003,ALDI,2017,2,,570100,,10.0,2556.0,41.81046,-87.72328,10.0,2655.0,839.8661431371506,365.0,822.6505343116315,859.0
691,221578073,44511003,ALDI,2017,2,,190900,,10.0,2556.0,41.9311,-87.74375,10.0,2655.0,1413.9475951410525,1532.0,2173.302624678347,1317.0
692,221578081,44511003,ALDI,2017,2,,220702,,10.0,2556.0,41.92821,-87.72762,10.0,2655.0,3761.264353237302,1665.0,3240.316143756313,1203.0
693,426612441,44511003,ALDI,2017,2,,842400,,10.0,2556.0,41.73908,-87.63251,10.0,2655.0,454.8683937621444,2322.0,177.43651985681166,1146.1666666666667
694,667719108,44511003,ALDI,2017,2,,843200,,10.0,2556.0,41.85217,-87.66942,10.0,2655.0,3678.797561611891,805.0,1547.5654808479455,1115.5555555555557
695,667719140,44511003,ALDI,2017,2,,842600,,10.0,2556.0,41.8089,-87.66271,10.0,2655.0,1129.4716599158173,1281.0,828.3606864282543,1038.3333333333333
696,667719157,44511003,ALDI,2017,2,,520100,,10.0,2556.0,41.703509999999994,-87.52584,10.0,2655.0,103.94658448895737,299.0,199.65250604594763,702.3333333333334
